Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,161.62,43846220,24049.1631,12.190999999999999,18.2451,18.2451,24.9037,42.9102,39.8172,1.6043,18.4352,2.7122,13.257,0.5,0.9709,81.5648,42787.1665,1269.07,1.0664,32.649,4.9959,1.6782,2.7052,737.4802,695.34,128.187,0.5347,0.0352,0.0477,10.8719,59.59,155.0,161.62,162.32,152.75,6027880.0,-3.531786074671992,12.980000000000016,0.6656394558433552,94.75403249461,0.3058508074209084,-2.5985521051933635,11.91370860119019,0.16541633759088747,-5.6375459913882775,1583948.5081801575,0.5,7.972376991587703e-07,0.09609149280191542,153.8073333333334,158.93283333333338,148.68183333333332
2/28/2007,145.43,48974900,24049.1631,10.9697,18.2451,18.2451,24.9037,42.9102,39.8172,1.6043,18.4352,2.7122,13.257,0.5,0.9709,81.5648,38636.4715,1269.07,1.0664,29.3784,4.9959,1.865,3.0063,737.4802,695.34,128.187,0.5347,0.0391,0.0477,9.7828,53.6207,155.0,145.43,158.75,144.06,2972700.0,-95.67823343848579,-28.16999999999999,0.14561007432623752,-175.47236377386918,0.4197900611774059,0.5467703854650097,7.101965767952177,-0.017075124112954566,5.0501658395196065,-651593.9084194961,0.2857142857142857,-5.931082632070884e-06,0.02804511713026097,165.93766666666673,173.64216666666667,158.23316666666662
3/30/2007,153.74,53666380,39700.0342,7.4148,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,40830.8813,2505.409,0.5652,15.7366,6.0935,4.7139999999999995,5.7878,1934.5102,1858.57,129.114,0.9224,0.0391,0.0655,5.4413,21.2134,151.0,153.74,154.5,149.5,3466240.0,-4.986876640419885,12.480000000000016,0.6119408872633899,97.23441238414364,0.20628328523966047,0.7776528810087768,-7.495299486366732,-0.037317506200550084,-4.87112015598207,800303.538396572,0.7142857142857143,9.868888576977844e-07,-0.01505575581758821,144.73733333333334,151.6293333333333,137.84533333333326
4/30/2007,182.39,41467100,39700.0342,8.7966,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,48514.1473,2505.409,0.5652,18.6692,6.0935,3.9735,4.8787,1934.5102,1858.57,129.114,0.9224,0.0327,0.0655,6.4554,25.1666,178.27,182.39,184.4,176.5,2338520.0,-6.791366906474859,12.22,0.5636211762565315,96.73581624084352,0.2418623624005676,-6.490336523101092,20.344959071602517,0.3119712045242447,-1.8392794492575053,65238.739853825995,0.42857142857142855,-6.2551402538250125e-06,0.26764164224744524,168.48083333333338,175.12783333333337,161.83383333333327
5/31/2007,248.74,83654880,39700.0342,11.9969,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,65648.8661,2505.409,0.5652,25.4612,6.0935,2.9135,3.5772,1934.5102,1858.57,129.114,0.9224,0.024,0.0655,8.8039,34.3217,246.0,248.74,251.75,243.5,4213880.0,-5.750114696436751,56.08000000000001,0.8658802033615447,110.83369070501696,0.5371315534260199,-18.972164973309873,33.57125123657064,0.6531824252267966,-116.38110659159572,-355469.3665548146,0.7142857142857143,6.897733835218698e-06,0.4644262748833201,207.67833333333328,216.0123333333334,199.34433333333328
6/29/2007,292.52,120171040,39700.0342,14.1084,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,76954.0878,2505.409,0.5652,29.9425,6.0935,2.4775,3.0419,1934.5102,1858.57,129.114,0.9224,0.0204,0.0655,10.3534,40.3626,297.32,292.52,299.0,287.6,3909920.0,-45.495930473168755,39.64999999999998,0.6788551278380434,45.32661522854739,0.6105335949380192,-20.70014933103363,44.76697973544878,0.5407799248887605,-1.106180997902268,-589656.3133333961,0.5714285714285714,4.494679817314074e-06,0.4584509929989078,275.3578333333332,287.1778333333333,263.5378333333332
7/31/2007,335.04,119794300,39700.0342,16.1589,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,87932.6511,2505.409,0.5652,34.2942,6.0935,2.1631,2.6559,1934.5102,1858.57,129.114,0.9224,0.0178,0.0655,11.8581,46.2296,345.45,335.04,347.5,328.5,3706980.0,-78.55737704918027,1.3500000000000227,0.372551175244206,0.31226350763283656,0.26807275279756704,-14.323987323346104,26.33871399937108,0.3911529902016181,-1.563805411989499,-311731.74847421393,0.42857142857142855,-3.6625701710377287e-06,0.2450975578056038,336.94699999999995,350.186,323.7079999999999
8/31/2007,293.59,45236612,39700.0342,14.1597,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,77228.5715,2505.409,0.5652,30.0512,6.0935,2.4685,3.0309,1934.5102,1858.57,129.114,0.9224,0.0203,0.0655,10.390999999999998,40.5103,287.39,293.59,298.0,287.39,4841956.0,-38.0677237301801,-21.120000000000005,0.4558655311277097,-0.5557908462746991,0.3037447994263597,9.685364902368237,-17.50235891961024,-0.20608006713625912,-11.710451449584319,274612.5662937361,0.5714285714285714,-3.720291389329638e-05,-0.2430951055332393,293.1833333333332,310.1288333333334,276.23783333333336
9/28/2007,305.02,22555516,39700.0342,14.7113,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,80181.9377,2505.409,0.5652,31.2219,6.0935,2.376,2.9172,1934.5102,1858.57,129.114,0.9224,0.0195,0.0655,10.7958,42.0874,304.95,305.02,312.5,301.17,819876.0,-39.13600000000006,-0.7700000000000387,0.5507903141996292,62.75243711688621,0.1998445382913419,-1.7947983858393854,1.7194278139227124,0.045791594532761104,-0.6403914675218219,-121115.32021628188,0.42857142857142855,-2.215391443510836e-05,0.07810060449924859,300.8044999999999,312.33650000000006,289.27249999999987
10/31/2007,430.4,37100624,39700.0342,20.7581,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,112557.2728,2505.409,0.5652,44.0551,6.0935,1.6839,2.0674,1934.5102,1858.57,129.114,0.9224,0.0139,0.0655,15.2332,59.3876,422.5,430.4,437.5,421.25,1116744.0,-11.047215496368057,72.26999999999998,0.6468478319191133,137.22561443476965,0.24008189970207186,-25.621812944101862,25.41938625144356,0.3202743735238822,-1.3222469481831458,-269849.5570667909,0.6428571428571429,7.0508589244829e-05,0.35888128906109007,363.3366666666665,395.6451666666666,331.02816666666666
