Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,79.59,3947780,61968.9732,11.8131,7.0224,7.0224,13.1366,54.37300000000001,33.4068,1.4526,45.2137,2.2117,6.7374,1.0,1.8707,54.7863,79302.3287,3965.22,0.595,19.253,6.107,2.7789,4.3004,2013.5732,2121.48,959.2,0.6427,0.0503,0.192,2.5269999999999997,35.9859,76.51,79.59,80.8,76.51,656840,-35.15889114266397,7.579999999999997,0.6096122334849681,46.68769481080322,0.4671593522068873,-2.116470797418671,11.188581251381354,0.33242127054146164,-5.979423714162681,71357.63274973264,0.5,7.196456731853972e-06,0.15250444142396785,76.74650000000003,79.61749999999998,73.87550000000003
2/28/2007,73.71,7381940,61968.9732,10.9397,7.0224,7.0224,13.1366,54.37300000000001,33.4068,1.4526,45.2137,2.2117,6.7374,1.0,1.8707,54.7863,73657.4484,3965.22,0.595,17.8294,6.107,3.0008,4.6438,2013.5732,2121.48,959.2,0.6427,0.0543,0.192,2.3402,33.3273,69.5,73.71,75.06,69.4,259450,-67.09923664122145,-3.0200000000000102,0.458988151598043,-134.93493663406807,0.2078600289427448,0.7894375969541585,0.1535262473455683,-0.1237473862243321,0.0958495911701627,-102561.13561497569,0.2857142857142857,-1.6488699095854003e-05,-0.06032747489298439,77.08550000000005,80.53049999999998,73.64050000000006
3/30/2007,76.26,9884720,73148.4235,9.4046,7.6575,7.6575,15.0675,55.0143,28.8029,1.2519,43.1794,2.9298,8.1088,1.3,1.9677,56.8206,76162.4893,4906.9,0.4918,14.9073,6.4427,3.9479,5.8723,2885.0099,2810.3,959.2,0.5703,0.063,0.1956,1.9932,26.0291,76.0,76.26,78.0,75.0,244180,-16.73076923076917,7.829999999999997,0.7443017274564989,142.23706981783468,0.2857611670082379,-0.2902355862173493,-5.203902177850615,0.029781445566076818,13.534769594995039,-15314.758496960801,0.6428571428571429,1.1695396451900298e-05,0.01880104625432306,70.17600000000002,73.70649999999995,66.64550000000004
4/30/2007,79.09,3691310,73148.4235,9.7536,7.6575,7.6575,15.0675,55.0143,28.8029,1.2519,43.1794,2.9298,8.1088,1.3,1.9677,56.8206,78877.0197,4906.9,0.4918,15.4605,6.4427,3.8067,5.6622,2885.0099,2810.3,959.2,0.5703,0.0608,0.1956,2.0671,26.995,78.8,79.09,79.89,78.5,341750,-41.32352941176468,-0.8299999999999983,0.2963953002457956,5.9857475644729945,0.2973019118343787,-1.3796428353681307,12.589881978121598,0.19059144758519134,-2.012473624263201,-56041.83778263924,0.42857142857142855,-1.2803074826174065e-05,0.13558237120074978,78.9971666666667,81.77466666666669,76.2196666666667
5/31/2007,83.02,8652000,73148.4235,10.2377,7.6575,7.6575,15.0675,55.0143,28.8029,1.2519,43.1794,2.9298,8.1088,1.3,1.9677,56.8206,82641.8718,4906.9,0.4918,16.2277,6.4427,3.6267,5.3945,2885.0099,2810.3,959.2,0.5703,0.0579,0.1956,2.1697,28.3364,83.42,83.02,83.42,82.12,1477050,-53.22455322455328,5.450000000000002,0.8210679064116125,62.112780624971705,0.4646432072420965,-1.2002562286846938,4.805875228940631,0.2164877366616397,-0.31724204398580075,160701.6245542522,0.6428571428571429,1.0159780578738022e-05,0.06541745381542009,80.96950000000002,83.37899999999998,78.56000000000003
6/29/2007,81.02,6785290,73148.4235,9.991,7.6575,7.6575,15.0675,55.0143,28.8029,1.2519,43.1794,2.9298,8.1088,1.3,1.9677,56.8206,80723.4758,4906.9,0.4918,15.8368,6.4427,3.7162,5.5276,2885.0099,2810.3,959.2,0.5703,0.0593,0.1956,2.1174,27.6538,83.4,81.02,84.2,79.9,249440,-87.41573033707874,-2.9600000000000084,0.3377135157476881,-126.98241352418384,0.33950634430430443,-0.008865433085162522,3.281430834370107,0.005327112910913217,-2.180402589650537,4919.468586329123,0.2857142857142857,-4.423819854532936e-06,0.002830266480074802,84.90566666666669,88.12116666666664,81.6901666666667
7/31/2007,88.59,7239890,73148.4235,10.9252,7.6575,7.6575,15.0675,55.0143,28.8029,1.2519,43.1794,2.9298,8.1088,1.3,1.9677,56.8206,87989.4006,4906.9,0.4918,17.3175,6.4427,3.3985,5.055,2885.0099,2810.3,959.2,0.5703,0.0542,0.1956,2.3154,30.2376,86.89,88.59,89.0,86.1,130980,-16.85267857142848,3.1300000000000097,0.3782029588626839,53.32252712066652,0.2510745795717979,-0.8796575760276539,4.299395466406219,0.1469669124135793,262.42192561146146,-3677.3031775149793,0.5714285714285714,-1.35364393501556e-05,0.07655227172694158,86.53283333333337,89.07883333333332,83.98683333333341
8/31/2007,94.3,3544360,73148.4235,11.6294,7.6575,7.6575,15.0675,55.0143,28.8029,1.2519,43.1794,2.9298,8.1088,1.3,1.9677,56.8206,93466.4212,4906.9,0.4918,18.4337,6.4427,3.1927,4.7489,2885.0099,2810.3,959.2,0.5703,0.051,0.1956,2.4647,32.1865,94.0,94.3,94.9,92.1,103690,-57.842046718576256,-0.28000000000000114,0.3581140198830913,15.229332148734395,0.19827311146578505,-1.4622582282028986,8.820326809783541,0.16978790147130832,-0.5506359394325548,23878.04784275893,0.35714285714285715,-1.9218719183161047e-05,0.10482406402896068,93.25266666666671,96.53066666666666,89.97466666666668
9/28/2007,98.84,13610800,73148.4235,12.1886,7.6575,7.6575,15.0675,55.0143,28.8029,1.2519,43.1794,2.9298,8.1088,1.3,1.9677,56.8206,97816.5802,4906.9,0.4918,19.3202,6.4427,3.0462,4.5310000000000015,2885.0099,2810.3,959.2,0.5703,0.0486,0.1956,2.5832,33.7361,97.5,98.84,99.9,95.16,2714390,-16.578947368420945,3.9000000000000057,0.5011683425327905,132.09228848572934,0.1663863856934672,-1.2008057136682453,3.3192135652793384,0.15799235637605274,-50.26237848395503,459732.6009855798,0.5714285714285714,-6.0222521364517124e-06,0.03881707146234456,94.99866666666672,97.50216666666668,92.49516666666672
10/31/2007,103.23,17709560,73148.4235,12.7307,7.6575,7.6575,15.0675,55.0143,28.8029,1.2519,43.1794,2.9298,8.1088,1.3,1.9677,56.8206,102032.2641,4906.9,0.4918,20.1793,6.4427,2.9165,4.3381,2885.0099,2810.3,959.2,0.5703,0.0466,0.1956,2.6981,35.2345,101.9,103.23,104.0,101.9,49740,-39.251870324189476,4.960000000000008,0.8262125880867993,83.78873947181711,0.4853110865768203,-2.028021436627057,5.342817454581082,0.1292238230370688,0.894027504129544,-187564.0321606121,0.6428571428571429,4.777358047291253e-06,0.08108830260332295,98.28166666666668,103.16266666666672,93.40066666666672
